本能期训练报告 —— 站立任务
时间: 2026-09-05 18:20:00
本能区连接数: 582 | 每代婴儿: 96 x 2回合 | 最长回合: 3.0 秒
参数: 起步扰动 0.35 -> 最小 0.02 | 成功标准 2.6 秒

第 930 代 | 本代最佳 0.90 秒 | 精英平均 0.87 秒 | 历史最佳 1.26 秒 | 扰动 0.465 | 用时 23 秒
第 940 代 | 本代最佳 0.92 秒 | 精英平均 0.87 秒 | 历史最佳 1.26 秒 | 扰动 0.451 | 用时 23 秒
第 950 代 | 本代最佳 0.91 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.438 | 用时 23 秒
第 960 代 | 本代最佳 0.96 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.425 | 用时 23 秒
第 970 代 | 本代最佳 0.90 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.413 | 用时 24 秒
第 980 代 | 本代最佳 0.93 秒 | 精英平均 0.90 秒 | 历史最佳 1.26 秒 | 扰动 0.400 | 用时 24 秒
第 990 代 | 本代最佳 0.97 秒 | 精英平均 0.90 秒 | 历史最佳 1.26 秒 | 扰动 0.388 | 用时 24 秒
第 1000 代 | 本代最佳 1.00 秒 | 精英平均 0.92 秒 | 历史最佳 1.26 秒 | 扰动 0.377 | 用时 24 秒
第 1010 代 | 本代最佳 0.95 秒 | 精英平均 0.92 秒 | 历史最佳 1.26 秒 | 扰动 0.366 | 用时 25 秒
第 1020 代 | 本代最佳 1.05 秒 | 精英平均 0.98 秒 | 历史最佳 1.26 秒 | 扰动 0.355 | 用时 25 秒
第 1026 代：停滞 120 代，围绕历史最佳(1.26秒)重启探索
第 1030 代 | 本代最佳 0.91 秒 | 精英平均 0.85 秒 | 历史最佳 1.26 秒 | 扰动 0.494 | 用时 25 秒
第 1040 代 | 本代最佳 0.98 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.479 | 用时 25 秒
第 1050 代 | 本代最佳 1.12 秒 | 精英平均 0.92 秒 | 历史最佳 1.26 秒 | 扰动 0.465 | 用时 26 秒
第 1060 代 | 本代最佳 0.93 秒 | 精英平均 0.89 秒 | 历史最佳 1.26 秒 | 扰动 0.451 | 用时 26 秒
第 1070 代 | 本代最佳 0.91 秒 | 精英平均 0.88 秒 | 历史最佳 1.26 秒 | 扰动 0.438 | 用时 26 秒
第 1080 代 | 本代最佳 0.96 秒 | 精英平均 0.90 秒 | 历史最佳 1.26 秒 | 扰动 0.425 | 用时 26 秒
第 1090 代 | 本代最佳 0.93 秒 | 精英平均 0.90 秒 | 历史最佳 1.26 秒 | 扰动 0.413 | 用时 26 秒
第 1100 代 | 本代最佳 0.93 秒 | 精英平均 0.90 秒 | 历史最佳 1.26 秒 | 扰动 0.400 | 用时 27 秒
